user_id,game_id,voted_up,playtime_at_review
76561198318574261,500,1,256.0
76561198783133953,500,1,88.0
76561199198666356,500,1,10.0
76561198137902025,500,1,307.0
76561198023590229,500,1,60.0
76561198019968469,500,1,237.0
76561199079869211,500,1,1793.0
76561198780374635,500,1,569.0
76561199824672347,500,1,230.0
76561199260831983,500,1,623.0
76561197993668755,500,1,389.0
76561198134600245,500,1,9159.0
76561198346050421,500,1,516.0
76561198284452191,500,1,931.0
76561198103631003,500,1,234.0
76561199106091341,500,0,14.0
76561199838728959,500,1,250.0
76561199103522768,500,1,46.0
76561198072864334,500,0,114.0
76561198045865298,500,1,41732.0
76561198409088749,500,1,51.0
76561199123074227,500,1,467.0
76561199791611996,500,1,15.0
76561198055232117,500,1,433.0
76561198105076261,500,1,289.0
76561199819150076,500,1,393.0
76561199785659433,500,1,194.0
76561198985973991,500,1,116.0
76561199141882596,500,1,269.0
76561198138781259,500,1,461.0
76561198220215087,500,1,27015.0
76561199651246100,500,1,408.0
76561197970839551,33930,1,1047.0
76561198142653504,33930,1,854.0
76561198040917715,33930,1,1577.0
76561198077871807,33930,1,799.0
76561198331010970,33930,1,1302.0
76561198311856097,620980,1,1157.0
76561199105562650,620980,0,5226.0
76561198077871807,620980,1,185.0
76561198970116685,620980,1,4836.0
76561198344280087,620980,1,5986.0
76561198719208071,620980,1,1362.0
76561198748866201,620980,0,338.0
76561198078059329,620980,1,6796.0
76561199126483100,620980,1,540.0
76561198140551225,537180,0,195.0
76561198075224414,537180,0,136.0
76561198214266181,537180,0,79.0
76561198310998430,537180,1,158.0
76561198019535518,234140,1,5039.0
76561197993668755,234140,1,3052.0
76561198370791366,234140,1,3685.0
76561198175861429,234140,1,4417.0
76561198259833126,234140,1,263.0
76561199275893117,234140,1,1594.0
76561198051241583,234140,1,38.0
76561198039553073,234140,1,3678.0
76561198079579272,234140,1,989.0
76561198870570581,234140,1,4977.0
76561198170810941,234140,1,974.0
76561198094703426,234140,0,2676.0
76561197987232376,234140,0,71.0
76561199383645253,234140,1,6.0
76561197963251408,234140,0,838.0
76561198981658318,234140,1,338.0
76561199223564154,234140,1,1471.0
76561198220215087,234140,1,34090.0
76561199161399134,646570,1,862.0
76561199080096262,646570,1,2126.0
76561198048809779,646570,1,423.0
76561198953756162,646570,1,2348.0
76561198107111455,646570,0,25.0
76561199045661236,646570,1,663.0
76561199635939224,646570,1,617.0
76561199891040486,646570,1,545.0
76561198012336482,646570,1,354.0
76561199497293088,646570,1,1054.0
76561199240706366,646570,1,750.0
76561199057280159,322170,1,15795.0
76561198756170943,322170,0,3743.0
76561199834926574,322170,1,11351.0
76561199403559214,322170,1,8990.0
76561199552724075,322170,1,13934.0
76561199666716545,322170,1,2412.0
76561199164609098,322170,1,31256.0
76561197992222999,435150,1,19741.0
76561199213347146,435150,1,26766.0
76561198360205790,435150,1,4804.0
76561199882287831,435150,1,22722.0
76561198091013814,435150,1,8806.0
76561197988207306,435150,1,19048.0
76561198108258331,435150,1,11025.0
76561198117052879,435150,1,6503.0
76561198175518373,435150,1,1251.0
76561198034123685,435150,1,2728.0
76561198077685266,435150,1,14556.0
76561198009879163,435150,1,6668.0
76561198025459038,435150,1,5207.0
76561198134755941,435150,1,8600.0
76561198102329164,435150,1,5604.0
76561198102553820,632360,1,2106.0
76561198761119435,632360,1,5626.0
76561199235723903,632360,1,4980.0
76561198830176382,632360,1,4632.0
76561198162656634,632360,1,10508.0
76561198119863034,632360,1,20500.0
76561198425049053,632360,1,6159.0
76561198983496126,632360,1,709.0
76561198087864431,307780,1,1421.0
76561199282640524,307780,1,622.0
76561199791611996,307780,1,208.0
76561199673152043,307780,1,782.0
76561198016351513,1238840,0,405.0
76561198984411768,1238840,1,8636.0
76561199487643948,1238840,1,1216.0
76561199154114348,1238840,1,37304.0
76561199064200504,1238840,1,4442.0
76561199127554454,1238840,1,39.0
76561198396419370,1238840,1,831.0
76561199759926531,1238840,1,2983.0
76561198851192624,1238840,1,3373.0
76561199187263264,1238840,0,668.0
76561198106869712,1238840,1,383.0
76561198127157710,1238840,0,28.0
76561199033500528,1238840,1,6654.0
76561198037013594,1238840,1,10414.0
76561198774370363,1238840,0,3201.0
76561199401332276,1238840,1,3689.0
76561199817969632,1238840,1,5237.0
76561199446064565,1238840,1,602.0
76561199178980595,1238840,1,700.0
76561198331010970,1238840,1,1430.0
76561199274941470,1238840,1,6154.0
76561199029241367,1238840,1,436.0
76561198259644439,1238840,1,2773.0
76561198056489270,1238840,1,213.0
76561199541425636,1238840,1,5.0
76561198142106842,1238840,1,478.0
76561199243807678,1238840,1,117.0
76561198120492651,286940,1,3017.0
76561198264384609,286940,1,135.0
76561198310998430,286940,1,128.0
76561199482338533,454650,0,92.0
76561197996049384,454650,0,3887.0
76561198062416365,454650,1,4677.0
76561198034821974,454650,1,8141.0
76561198209993017,454650,1,371.0
76561198073166845,454650,0,4278.0
76561198783881911,454650,1,291.0
76561199011803805,454650,1,4604.0
76561198184688782,454650,0,40.0
76561198330259689,454650,1,4350.0
76561198752569365,454650,0,54.0
76561198081374646,454650,1,585.0
76561199232088337,949230,1,21282.0
76561198065780689,949230,0,5.0
76561198881139724,949230,0,3672.0
76561198092519585,949230,0,292.0
76561199035676447,949230,1,3098.0
76561199349093341,949230,0,1619.0
76561198186548095,949230,1,6729.0
76561198448477317,949230,1,14541.0
76561198279652752,949230,0,134.0
76561198101296023,30,0,7.0
76561198098176839,30,1,518.0
